question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
1,1,Where is Tom?,at school,at home,in the park,in the car,at school,Literal,1,False,0
2,1,What does Tom read?,a book,a map,a menu,a note,a book,Detail,1,False,0
3,1,Who helps Tom?,his teacher,his friend,his sister,his father,his teacher,Detail,1,False,0
4,1,What is Tom learning?,new words,old songs,math,drawing,new words,Inference,1,False,0
5,2,What is the dog’s name?,Tom,Max,Leo,Sam,Max,Literal,1,False,0
6,2,What does Max like to do?,sleep,run and play,eat,bark loudly,run and play,Detail,1,False,0
7,2,Where does Max play?,in the park,in the house,at school,on the road,in the park,Detail,1,False,0
8,2,How often does Max play?,every day,once a week,never,in winter,every day,Vocabulary,1,False,0
9,3,Placeholder question?,A,B,C,D,A,Literal,1,False,0
10,3,Placeholder question?,A,B,C,D,A,Literal,1,False,0
11,3,Placeholder question?,A,B,C,D,A,Literal,1,False,0
12,3,Placeholder question?,A,B,C,D,A,Literal,1,False,0
13,4,Placeholder question?,A,B,C,D,A,Literal,2,False,0
14,4,Placeholder question?,A,B,C,D,A,Literal,2,False,0
15,4,Placeholder question?,A,B,C,D,A,Literal,2,False,0
16,4,Placeholder question?,A,B,C,D,A,Literal,2,False,0
17,5,Placeholder question?,A,B,C,D,A,Literal,2,False,0
18,5,Placeholder question?,A,B,C,D,A,Literal,2,False,0
19,5,Placeholder question?,A,B,C,D,A,Literal,2,False,0
20,5,Placeholder question?,A,B,C,D,A,Literal,2,False,0
21,6,Placeholder question?,A,B,C,D,A,Literal,2,False,0
22,6,Placeholder question?,A,B,C,D,A,Literal,2,False,0
23,6,Placeholder question?,A,B,C,D,A,Literal,2,False,0
24,6,Placeholder question?,A,B,C,D,A,Literal,2,False,0
25,7,Placeholder question?,A,B,C,D,A,Literal,2,False,0
26,7,Placeholder question?,A,B,C,D,A,Literal,2,False,0
27,7,Placeholder question?,A,B,C,D,A,Literal,2,False,0
28,7,Placeholder question?,A,B,C,D,A,Literal,2,False,0
29,8,Placeholder question?,A,B,C,D,A,Literal,3,False,0
30,8,Placeholder question?,A,B,C,D,A,Literal,3,False,0
31,8,Placeholder question?,A,B,C,D,A,Literal,3,False,0
32,8,Placeholder question?,A,B,C,D,A,Literal,3,False,0
33,9,Placeholder question?,A,B,C,D,A,Literal,3,False,0
34,9,Placeholder question?,A,B,C,D,A,Literal,3,False,0
35,9,Placeholder question?,A,B,C,D,A,Literal,3,False,0
36,9,Placeholder question?,A,B,C,D,A,Literal,3,False,0
37,10,Placeholder question?,A,B,C,D,A,Literal,3,False,0
38,10,Placeholder question?,A,B,C,D,A,Literal,3,False,0
39,10,Placeholder question?,A,B,C,D,A,Literal,3,False,0
40,10,Placeholder question?,A,B,C,D,A,Literal,3,False,0
41,11,Placeholder question?,A,B,C,D,A,Literal,3,False,0
42,11,Placeholder question?,A,B,C,D,A,Literal,3,False,0
43,11,Placeholder question?,A,B,C,D,A,Literal,3,False,0
44,11,Placeholder question?,A,B,C,D,A,Literal,3,False,0
45,12,Placeholder question?,A,B,C,D,A,Literal,4,False,0
46,12,Placeholder question?,A,B,C,D,A,Literal,4,False,0
47,12,Placeholder question?,A,B,C,D,A,Literal,4,False,0
48,12,Placeholder question?,A,B,C,D,A,Literal,4,False,0
49,13,Placeholder question?,A,B,C,D,A,Literal,4,False,0
50,13,Placeholder question?,A,B,C,D,A,Literal,4,False,0
